movie_title_name,movie_title_url,movie_title_opening_week,movie_title_total_gross,movie_title_first_week_pct,movie_title_cinemas,movie_title_opening_date,movie_title_opening_date_url,movie_title_distributor,movie_title_distributor_url
Avengers: Endgame,https://www.boxofficemojo.com/release/rl3059975681/?ref_=bo_csw_table_1,"$357,115,007 ","$858,373,000 ",41.60%,"4,662",26-Apr-19,https://www.boxofficemojo.com/date/2019-04-26/?ref_=bo_csw_table_1,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_1&rf=mojo_csw_table_1
Spider-Man: No Way Home,https://www.boxofficemojo.com/release/rl2869659137/?ref_=bo_csw_table_2,"$260,138,569 ","$804,793,477 ",32.30%,"4,336",17-Dec-21,https://www.boxofficemojo.com/date/2021-12-17/?ref_=bo_csw_table_2,Sony Pictures Entertainment (SPE),https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_csw_table_2&rf=mojo_csw_table_2
Avengers: Infinity War,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_csw_table_3,"$257,698,183 ","$678,815,482 ",38%,"4,474",27-Apr-18,https://www.boxofficemojo.com/date/2018-04-27/?ref_=bo_csw_table_3,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_3&rf=mojo_csw_table_3
Star Wars: Episode VII - The Force Awakens,https://www.boxofficemojo.com/release/rl2691925505/?ref_=bo_csw_table_4,"$247,966,675 ","$936,662,225 ",26.50%,"4,134",18-Dec-15,https://www.boxofficemojo.com/date/2015-12-18/?ref_=bo_csw_table_4,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_4&rf=mojo_csw_table_4
Star Wars: Episode VIII - The Last Jedi,https://www.boxofficemojo.com/release/rl2708702721/?ref_=bo_csw_table_5,"$220,009,584 ","$620,181,382 ",35.50%,"4,232",15-Dec-17,https://www.boxofficemojo.com/date/2017-12-15/?ref_=bo_csw_table_5,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_5&rf=mojo_csw_table_5
Jurassic World,https://www.boxofficemojo.com/release/rl2371716609/?ref_=bo_csw_table_6,"$208,806,270 ","$652,270,625 ",32%,"4,274",12-Jun-15,https://www.boxofficemojo.com/date/2015-06-12/?ref_=bo_csw_table_6,Universal Pictures,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_csw_table_6&rf=mojo_csw_table_6
The Avengers,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_csw_table_7,"$207,438,708 ","$623,357,910 ",33.30%,"4,349",4-May-12,https://www.boxofficemojo.com/date/2012-05-04/?ref_=bo_csw_table_7,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_7&rf=mojo_csw_table_7
Black Panther,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_csw_table_8,"$202,003,951 ","$700,059,566 ",28.90%,"4,020",16-Feb-18,https://www.boxofficemojo.com/date/2018-02-16/?ref_=bo_csw_table_8,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_8&rf=mojo_csw_table_8
The Lion King,https://www.boxofficemojo.com/release/rl3321923073/?ref_=bo_csw_table_9,"$191,770,759 ","$543,638,043 ",35.30%,"4,725",19-Jul-19,https://www.boxofficemojo.com/date/2019-07-19/?ref_=bo_csw_table_9,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_9&rf=mojo_csw_table_9
Avengers: Age of Ultron,https://www.boxofficemojo.com/release/rl675644929/?ref_=bo_csw_table_10,"$191,271,109 ","$459,005,868 ",41.70%,"4,276",1-May-15,https://www.boxofficemojo.com/date/2015-05-01/?ref_=bo_csw_table_10,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_10&rf=mojo_csw_table_10
Doctor Strange in the Multiverse of Madness,https://www.boxofficemojo.com/release/rl3724903937/?ref_=bo_csw_table_11,"$187,420,998 ","$411,331,607 ",45.60%,"4,534",6-May-22,https://www.boxofficemojo.com/date/2022-05-06/?ref_=bo_csw_table_11,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_11&rf=mojo_csw_table_11
Incredibles 2,https://www.boxofficemojo.com/release/rl2071758337/?ref_=bo_csw_table_12,"$182,687,905 ","$608,581,744 ",30%,"4,410",15-Jun-18,https://www.boxofficemojo.com/date/2018-06-15/?ref_=bo_csw_table_12,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_12&rf=mojo_csw_table_12
Black Panther: Wakanda Forever,https://www.boxofficemojo.com/release/rl3573908993/?ref_=bo_csw_table_13,"$181,339,761 ","$453,829,060 ",40%,"4,396",11-Nov-22,https://www.boxofficemojo.com/date/2022-11-11/?ref_=bo_csw_table_13,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_13&rf=mojo_csw_table_13
Captain America: Civil War,https://www.boxofficemojo.com/release/rl3210970625/?ref_=bo_csw_table_14,"$179,139,142 ","$408,084,349 ",43.90%,"4,226",6-May-16,https://www.boxofficemojo.com/date/2016-05-06/?ref_=bo_csw_table_14,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_14&rf=mojo_csw_table_14
Star Wars: Episode IX - The Rise of Skywalker,https://www.boxofficemojo.com/release/rl3305145857/?ref_=bo_csw_table_15,"$177,383,864 ","$515,202,542 ",34.40%,"4,406",20-Dec-19,https://www.boxofficemojo.com/date/2019-12-20/?ref_=bo_csw_table_15,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_15&rf=mojo_csw_table_15
Beauty and the Beast,https://www.boxofficemojo.com/release/rl222594561/?ref_=bo_csw_table_16,"$174,750,616 ","$504,014,165 ",34.70%,"4,210",17-Mar-17,https://www.boxofficemojo.com/date/2017-03-17/?ref_=bo_csw_table_16,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_16&rf=mojo_csw_table_16
Iron Man 3,https://www.boxofficemojo.com/release/rl1532659201/?ref_=bo_csw_table_17,"$174,144,585 ","$409,013,994 ",42.60%,"4,253",3-May-13,https://www.boxofficemojo.com/date/2013-05-03/?ref_=bo_csw_table_17,Walt Disney Studios Motion Pictures,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_csw_table_17&rf=mojo_csw_table_17
Harry Potter and the Deathly Hallows: Part 2,https://www.boxofficemojo.com/release/rl1265337857/?ref_=bo_csw_table_18,"$169,189,427 ","$381,011,219 ",44.40%,"4,375",15-Jul-11,https://www.boxofficemojo.com/date/2011-07-15/?ref_=bo_csw_table_18,Warner Bros.,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_csw_table_18&rf=mojo_csw_table_18
Batman v Superman: Dawn of Justice,https://www.boxofficemojo.com/release/rl2238875137/?ref_=bo_csw_table_19,"$166,007,347 ","$330,360,194 ",50.20%,"4,242",25-Mar-16,https://www.boxofficemojo.com/date/2016-03-25/?ref_=bo_csw_table_19,Warner Bros.,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_csw_table_19&rf=mojo_csw_table_19
The Dark Knight Rises,https://www.boxofficemojo.com/release/rl3745875457/?ref_=bo_csw_table_20,"$160,887,295 ","$448,139,099 ",35.90%,"4,404",20-Jul-12,https://www.boxofficemojo.com/date/2012-07-20/?ref_=bo_csw_table_20,Warner Bros.,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_csw_table_20&rf=mojo_csw_table_20
The Dark Knight,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_csw_table_21,"$158,411,483 ","$533,345,358 ",29.70%,"4,366",18-Jul-08,https://www.boxofficemojo.com/date/2008-07-18/?ref_=bo_csw_table_21,Warner Bros.,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_csw_table_21&rf=mojo_csw_table_21
The Hunger Games: Catching Fire,https://www.boxofficemojo.com/release/rl2638775809/?ref_=bo_csw_table_22,"$158,074,286 ","$424,668,047 ",37.20%,"4,163",22-Nov-13,https://www.boxofficemojo.com/date/2013-11-22/?ref_=bo_csw_table_22,Lionsgate,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_csw_table_22&rf=mojo_csw_table_22
