Movie_Title,First_Week_Sales,Total_Ticket_Sales,First_Week_Pct,No_of_Cinemas,Distributor,Distributor_Category,Opening_Date,Opening_Year,Opening_Month_Name,Opening_Month,Opening_Day
Avengers: Endgame,357115007,858373000,41.6,4662,Walt Disney,Major Studio,4/26/2019,2019,April,4,Friday
Spider-Man: No Way Home,260138569,804793477,32.3,4336,Sony Pictures,Major Studio,12/17/2021,2021,December,12,Friday
Avengers: Infinity War,257698183,678815482,38,4474,Walt Disney,Major Studio,4/27/2018,2018,April,4,Friday
Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5,4134,Walt Disney,Major Studio,12/18/2015,2015,December,12,Friday
Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5,4232,Walt Disney,Major Studio,12/15/2017,2017,December,12,Friday
Jurassic World,208806270,652270625,32,4274,Universal Pictures,Major Studio,6/12/2015,2015,June,6,Friday
The Avengers,207438708,623357910,33.3,4349,Walt Disney,Major Studio,5/4/2012,2012,May,5,Friday
Black Panther,202003951,700059566,28.9,4020,Walt Disney,Major Studio,2/16/2018,2018,February,2,Friday
The Lion King,191770759,543638043,35.3,4725,Walt Disney,Major Studio,7/19/2019,2019,July,7,Friday
Avengers: Age of Ultron,191271109,459005868,41.7,4276,Walt Disney,Major Studio,5/1/2015,2015,May,5,Friday
Doctor Strange in the Multiverse of Madness,187420998,411331607,45.6,4534,Walt Disney,Major Studio,5/6/2022,2022,May,5,Friday
Incredibles 2,182687905,608581744,30,4410,Walt Disney,Major Studio,6/15/2018,2018,June,6,Friday
Black Panther: Wakanda Forever,181339761,453829060,40,4396,Walt Disney,Major Studio,11/11/2022,2022,November,11,Friday
Captain America: Civil War,179139142,408084349,43.9,4226,Walt Disney,Major Studio,5/6/2016,2016,May,5,Friday
Star Wars: Episode IX - The Rise of Skywalker,177383864,515202542,34.4,4406,Walt Disney,Major Studio,12/20/2019,2019,December,12,Friday
Beauty and the Beast,174750616,504014165,34.7,4210,Walt Disney,Major Studio,3/17/2017,2017,March,3,Friday
Iron Man 3,174144585,409013994,42.6,4253,Walt Disney,Major Studio,5/3/2013,2013,May,5,Friday
Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4,4375,Warner Bros.,Major Studio,7/15/2011,2011,July,7,Friday
Batman v Superman: Dawn of Justice,166007347,330360194,50.2,4242,Warner Bros.,Major Studio,3/25/2016,2016,March,3,Friday
The Dark Knight Rises,160887295,448139099,35.9,4404,Warner Bros.,Major Studio,7/20/2012,2012,July,7,Friday
The Dark Knight,158411483,533345358,29.7,4366,Warner Bros.,Major Studio,7/18/2008,2008,July,7,Friday
The Hunger Games: Catching Fire,158074286,424668047,37.2,4163,Lionsgate,Others,11/22/2013,2013,November,11,Friday
Rogue One: A Star Wars Story,155081681,532177324,29.1,4157,Walt Disney,Major Studio,12/16/2016,2016,December,12,Friday
Barbie,155000000,155000000,100,4243,Warner Bros.,Major Studio,7/21/2023,2023,July,7,Friday
Captain Marvel,153433423,426829839,36,4310,Walt Disney,Major Studio,3/8/2019,2019,March,3,Friday
The Hunger Games,152535747,408010692,37.4,4137,Lionsgate,Others,3/23/2012,2012,March,3,Friday
Spider-Man 3,151116516,336530303,44.9,4252,Sony Pictures,Major Studio,5/4/2007,2007,May,5,Friday
Jurassic World: Fallen Kingdom,148024610,417719760,35.4,4475,Universal Pictures,Major Studio,6/22/2018,2018,June,6,Friday
Furious 7,147187040,353007020,41.7,4004,Universal Pictures,Major Studio,4/3/2015,2015,April,4,Friday
Guardians of the Galaxy Vol. 2,146510104,389813101,37.6,4347,Walt Disney,Major Studio,5/5/2017,2017,May,5,Friday
The Super Mario Bros. Movie,146361865,574044955,25.5,4343,Universal Pictures,Major Studio,4/5/2023,2023,April,4,Wednesday
Jurassic World Dominion,145075625,376851080,38.5,4676,Universal Pictures,Major Studio,6/10/2022,2022,June,6,Friday
Thor: Love and Thunder,144165107,343256830,42,4375,Walt Disney,Major Studio,7/8/2022,2022,July,7,Friday
The Twilight Saga: New Moon,142839137,296623634,48.2,4024,Lionsgate,Others,11/20/2009,2009,November,11,Friday
The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3,4070,Lionsgate,Others,11/16/2012,2012,November,11,Friday
The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,49.1,4061,Lionsgate,Others,11/18/2011,2011,November,11,Friday
Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,32,4133,Walt Disney,Major Studio,7/7/2006,2006,July,7,Friday
Finding Dory,135060273,486295561,27.8,4305,Walt Disney,Major Studio,6/17/2016,2016,June,6,Friday
Avatar: The Way of Water,134100226,684075767,19.6,4202,Walt Disney,Major Studio,12/16/2022,2022,December,12,Friday
The Batman,134008624,369345583,36.3,4417,Warner Bros.,Major Studio,3/4/2022,2022,March,3,Friday
Suicide Squad,133682248,325100054,41.1,4255,Warner Bros.,Major Studio,8/5/2016,2016,August,8,Friday
Deadpool,132434639,363070709,36.5,3558,Walt Disney,Major Studio,2/12/2016,2016,February,2,Friday
Frozen II,130263358,477373578,27.3,4440,Walt Disney,Major Studio,11/22/2019,2019,November,11,Friday
Iron Man 2,128122480,312433331,41,4380,Paramount Pictures,Major Studio,5/7/2010,2010,May,5,Friday
Top Gun: Maverick,126707459,718732821,17.6,4735,Paramount Pictures,Major Studio,5/27/2022,2022,May,5,Friday
Deadpool 2,125507153,318491426,39.4,4349,Walt Disney,Major Studio,5/18/2018,2018,May,5,Friday
Harry Potter and the Deathly Hallows: Part 1,125017372,295983305,42.2,4125,Warner Bros.,Major Studio,11/19/2010,2010,November,11,Friday
It,123403419,327481748,37.7,4103,Warner Bros.,Major Studio,9/8/2017,2017,September,9,Friday
Thor: Ragnarok,122744989,315058289,39,4080,Walt Disney,Major Studio,11/3/2017,2017,November,11,Friday
